Box Number,6,6,6,9,9,9,10,10,10
Columns,event_code,timestamp,counter,event_code,timestamp,counter,event_code,timestamp,counter
0,Start Date, 08/14/2020,,Start Date, 08/14/2020,,Start Date, 08/14/2020,
1,Start Time, 16-53-30,,Start Time, 16-55-19,,Start Time, 17-00-07,
2,Mouse Line, 234,,Mouse Line, 240,,Mouse Line, 232,
3,Experiment, Group10,,Experiment, Group10,,Experiment, Group10,
4,Paradigm, P6-3,,Paradigm, P6-3,,Paradigm, P6-3,
5,Group, cre-,,Group, cre+,,Group, cre-,
6,Sex, male,,Sex, female,,Sex, male,
7,Subject, 234,,Subject, 240,,Subject, 232,
8,Box Number, 6,,Box Number, 9,,Box Number, 10,
9,0113,1380,,0113,221,,0113,227,
10,Paradigm,G5_P6.3_v2,,Paradigm,G5_P6.3_v2,,Paradigm,G5_P6.3_v2,
11,Trial_Duration,1500,,Trial_Duration,1500,,Trial_Duration,1500,
12,Delay_Window,3000,,Delay_Window,3000,,Delay_Window,3000,
181,8070,3645934,,8070,217056750,,72519,,0.0
182,7071,3647434,,72559,,0.0,82519,,0.0
183,7070,3647525,,82559,,0.0,92519,,0.0
184,8071,3648561,,92559,,0.0,5521,646112,
185,72559,,1.0,72171,217059496,,8071,662608,
186,82559,,1.0,72540,217060997,,7529,,0.0
187,92559,,0.0,72519,,0.0,8529,,0.0
188,72171,3648675,,82519,,0.0,9529,,0.0
189,8070,3648913,,92519,,0.0,5520,662609,
190,72540,3650176,,5521,217117997,,8070,662756,
191,8071,3705785,,8071,217167915,,7071,663274,
192,8070,3706187,,7529,,0.0,7070,663538,
193,72519,,0.0,8529,,0.0,72559,,1.0
194,82519,,1.0,9529,,0.0,82559,,0.0
195,92519,,0.0,5520,217167916,,92559,,0.0
196,5521,3707176,,8070,217168055,,72171,665609,
197,8071,3707608,,8071,217169437,,9071,666809,
198,7529,,0.0,8070,217169649,,72160,666809,
199,8529,,0.0,72559,,0.0,9070,666893,
200,9529,,0.0,82559,,1.0,72519,,0.0
201,5520,3707609,,92559,,0.0,82519,,0.0
202,8070,3707837,,72171,2172170916,,92519,,0.0
203,8071,3709962,,7071,217171397,,5521,711809,
204,8070,3709986,,72170,217171398,,8071,716944,
205,72559,,0.0,82271,217171398,,7529,,0.0
206,82559,,1.0,82270,217171471,,8529,,0.0
207,92559,,0.0,7070,217171488,,9529,,0.0
208,72171,3710609,,8071,217171788,,5520,716945,
209,72540,3712110,,82170,217174400,,8070,717477,
210,8071,3725287,,72549,,0.0,7071,717889,
211,8070,3726123,,82549,,1.0,7070,718029,
212,8071,3728599,,92549,,0.0,8071,719904,
213,8070,3728650,,8070,217174751,,72559,,1.0
214,8071,3728777,,72519,,0.0,82559,,1.0
215,8070,3729052,,82519,,0.0,92559,,0.0
216,8071,3750807,,92519,,0.0,92171,719945,
217,8070,3750861,,5521,17234400,,8070,720081,
218,72519,,0.0,8071,17237604,,9071,720703,
219,82519,,4.0,7529,,0.0,92170,720703,
220,92519,,0.0,8529,,0.0,82271,720703,
221,5521,3772110,,9529,,0.0,9070,720761,
222,8071,3773331,,5520,17237605,,82270,720776,
223,7529,,0.0,8070,17237744,,8071,721196,
224,8529,,0.0,72559,,0.0,82170,723704,
225,9529,,0.0,82559,,0.0,72549,,0.0
226,5520,3773332,,92559,,0.0,82549,,1.0
227,8070,3773415,,92171,17240605,,92549,,0.0
228,8071,37725499,,8071,17241734,,8070,732585,
229,8070,3775628,,92160,17241734,,7071,7254921,
230,72559,,0.0,8070,17241790,,7070,755622,
231,82559,,1.0,8071,17241832,,72519,,1.0
232,92559,,0.0,8070,17241849,,82519,,0.0
233,92171,3776332,,9071,17242401,,92519,,0.0
234,9071,3777035,,9070,17242632,,5521,760704,
235,92170,3777035,,9071,17242767,,8071,762835,
236,82271,3777036,,9070,17243105,,7529,,0.0
237,9070,3777084,,72519,,0.0,8529,,0.0
238,82270,3777110,,82519,,1.0,9529,,0.0
239,8071,3777638,,92519,,2.0,5520,762835,
240,82170,3780037,,5521,172271735,,8070,763156,
241,72549,,0.0,8071,17415377,,72559,,0.0
242,82549,,1.0,7529,,0.0,82559,,0.0
243,92549,,0.0,8529,,0.0,92559,,0.0
244,8070,3796107,,9529,,0.0,92171,765835,
245,72519,,0.0,5520,17415378,,9071,766989,
246,82519,,0.0,8070,174125405,,92170,766989,
247,92519,,0.0,72559,,0.0,82271,766989,
248,5521,3810037,,82559,,0.0,82270,767062,
249,8071,3813476,,92559,,0.0,9070,767142,
250,7529,,0.0,92171,17418378,,8071,7672519,
251,8529,,0.0,9071,17419098,,82170,769990,
252,9529,,0.0,92170,17419098,,72549,,0.0
253,5520,3813477,,82271,17419099,,82549,,1.0
254,8070,3813900,,82270,17419172,,92549,,0.0
255,8071,3815573,,9070,17419174,,8070,778334,
256,8070,38216015,,8071,17419552,,72519,,0.0
257,8071,3816201,,82170,17422100,,82519,,0.0
258,72559,,0.0,72549,,0.0,92519,,0.0
259,82559,,2.0,82549,,1.0,5521,803990,
260,92559,,0.0,92549,,0.0,8071,900701,
261,92171,3816477,,8070,17424399,,7529,,0.0
262,8070,3817422,,8071,17435956,,8529,,0.0
263,92540,3817978,,8070,17437884,,9529,,0.0
264,72519,,0.0,8071,17442951,,5520,900701,
265,82519,,0.0,8070,17443005,,8070,900887,
266,92519,,0.0,8071,17443023,,8071,903409,
267,5521,3877978,,8070,17443215,,8070,903455,
268,8071,3879424,,72519,,0.0,8071,903638,
269,7529,,0.0,82519,,3.0,8070,903696,
270,8529,,0.0,92519,,0.0,72559,,0.0
271,9529,,0.0,5521,17482100,,82559,,2.0
272,5520,3879425,,8071,17482348,,92559,,0.0
273,8070,3879739,,7529,,0.0,92171,903701,
274,72559,,0.0,8529,,0.0,9071,904108,
275,82559,,0.0,9529,,0.0,92170,904108,
276,92559,,0.0,5520,17482349,,82271,904109,
277,92171,3882425,,8070,17482644,,82270,904182,
278,92540,3883926,,8071,17485173,,9070,904257,
279,8071,3884122,,72559,,0.0,8071,904553,
280,8070,3884277,,82559,,1.0,82170,907110,
281,9071,3885213,,92559,,0.0,72549,,0.0
282,9070,3886077,,92171,17485349,,82549,,1.0
283,72519,,0.0,92540,17486850,,92549,,0.0
284,82519,,1.0,8070,17486860,,8070,916884,
285,92519,,1.0,72519,,0.0,7071,928159,
286,5521,3913926,,82519,,0.0,7070,928233,
287,8071,5501461,,92519,,0.0,7071,928248,
288,7529,,0.0,5521,17516850,,7070,929764,
289,8529,,0.0,8071,17553242,,72519,,2.0
290,9529,,0.0,7529,,0.0,82519,,0.0
291,5520,5501462,,8529,,0.0,92519,,0.0
292,8070,5501496,,9529,,0.0,5521,967110,
293,72559,,0.0,5520,17553243,,8071,1004530,
294,82559,,0.0,8070,17553461,,7529,,0.0
295,92559,,0.0,72559,,0.0,8529,,0.0
296,92171,5504462,,82559,,0.0,9529,,0.0
297,92540,5505963,,92559,,0.0,5520,1004531,
298,72519,,0.0,92171,17556243,,8070,1004746,
299,82519,,0.0,9071,17556886,,8071,1004903,
300,92519,,0.0,92170,17556886,,8070,1005001,
301,5521,5565963,,82271,17556887,,7071,1006085,
302,8071,5682074,,9070,17556952,,7070,1006389,
303,7529,,0.0,82270,17556960,,7071,1006404,
304,8529,,0.0,8071,17557353,,7070,1006448,
305,9529,,0.0,82170,172559888,,7071,1006551,
306,5520,5682075,,72549,,0.0,7070,1007015,
307,8070,5682439,,82549,,1.0,72559,,3.0
308,72559,,0.0,92549,,0.0,82559,,1.0
309,82559,,0.0,8070,175602160,,92559,,0.0
310,92559,,0.0,8071,17568957,,72171,1007531,
311,92171,5685075,,8070,17569247,,72540,1009032,
312,9071,5686282,,8071,17569345,,7071,1012973,
313,92170,5686282,,8070,17570725,,7070,1013340,
314,82271,5686283,,72519,,0.0,7071,1013360,
315,82270,5686356,,82519,,2.0,7070,1014601,
316,9070,5686394,,92519,,0.0,7071,1020709,
317,8071,5687219,,5521,17619888,,7070,1020775,
318,82170,5689284,,8071,17624389,,8071,1028371,
319,72549,,0.0,7529,,0.0,8070,1028673,
320,82549,,1.0,8529,,0.0,7071,1040758,
321,92549,,0.0,9529,,0.0,7070,1040828,
322,8070,5702508,,5520,17624389,,7071,1040899,
323,72519,,0.0,8070,17624736,,7070,1041069,
324,82519,,0.0,8071,17625619,,7071,1042014,
325,92519,,0.0,8070,17626331,,7070,1042340,
326,5521,5740284,,72559,,0.0,7071,1042542,
327,8071,5741419,,82559,,1.0,7070,1042803,
328,7529,,0.0,92559,,0.0,7071,1050461,
329,8529,,0.0,92171,17627389,,7070,1050481,
330,9529,,0.0,9071,17628708,,7071,1051739,
331,5520,5741420,,92170,17628708,,7070,1052029,
332,8070,57421603,,82271,17628709,,7071,1052590,
333,72559,,0.0,82270,17628782,,7070,1055182,
334,82559,,0.0,9070,17628783,,7071,1056782,
335,92559,,0.0,8071,17629157,,7070,1057598,
336,92171,5744420,,8070,17629204,,7071,1066324,
337,92540,5745921,,8071,17629236,,7070,1066414,
338,72519,,0.0,82170,176321710,,7071,1067164,
339,82519,,0.0,72549,,0.0,7070,1068581,
340,92519,,0.0,82549,,2.0,72519,,13.0
341,5521,5790921,,92549,,0.0,82519,,1.0
342,8071,5797347,,8070,17631954,,92519,,0.0
343,7529,,0.0,8071,17631993,,5521,1069032,
344,8529,,0.0,8070,17632055,,8071,1077288,
345,9529,,0.0,8071,17637888,,7529,,0.0
346,5520,5797348,,8070,17637994,,8529,,0.0
347,8070,5797801,,8071,17640198,,9529,,0.0
348,72559,,0.0,8070,17640864,,5520,1077289,
349,82559,,0.0,8071,17640969,,8070,1077501,
350,92559,,0.0,8070,17641180,,72559,,0.0
351,72171,5800348,,72519,,0.0,82559,,0.0
352,72540,5801849,,82519,,4.0,92559,,0.0
353,8071,5803242,,92519,,0.0,92171,1080289,
354,8070,5803295,,5521,176822710,,9071,1081539,
355,8071,5803339,,8071,17683115,,92170,1081539,
356,8070,5803512,,7529,,0.0,82271,10812540,
357,8071,5818523,,8529,,0.0,82270,1081613,
358,8070,5819224,,9529,,0.0,9070,1081672,
359,72519,,0.0,5520,17683116,,8071,1082029,
360,82519,,3.0,8070,17683263,,8070,1082077,
361,92519,,0.0,8071,17683414,,8071,1082101,
362,5521,5858849,,8070,17684563,,82170,1084541,
363,8071,5900359,,72559,,0.0,72549,,0.0
364,7529,,0.0,82559,,1.0,82549,,2.0
365,8529,,0.0,92559,,0.0,92549,,0.0
366,9529,,0.0,92171,17686116,,8070,1094471,
367,5520,5900360,,9071,17686900,,9071,1095923,
368,8070,5900481,,92170,17686900,,9070,1096011,
369,8071,5900580,,82271,17686901,,72519,,0.0
370,8070,5900776,,82270,17686974,,82519,,0.0
371,72559,,0.0,9070,17686998,,92519,,1.0
372,82559,,1.0,8071,17687348,,5521,1116541,
373,92559,,0.0,82170,17689902,,8071,1983014,
374,92171,5903360,,72549,,0.0,7529,,0.0
375,9071,5903578,,82549,,1.0,8529,,0.0
376,92170,5903578,,92549,,0.0,9529,,0.0
377,82271,5903579,,8070,17690757,,5520,1983015,
378,82270,5903652,,8071,17694918,,8070,1984083,
379,9070,5903768,,8070,17695550,,8071,1984517,
380,8071,5904169,,8071,17696267,,8070,19825195,
381,82170,5906580,,8070,17696833,,72559,,0.0
382,72549,,0.0,8071,17701927,,82559,,1.0
383,82549,,1.0,8070,17702315,,92559,,0.0
384,92549,,0.0,8071,17702941,,92171,1986015,
385,8070,5926487,,8070,17706999,,9071,1986793,
386,72519,,0.0,8071,17707057,,92170,1986793,
387,82519,,0.0,8070,17707591,,82271,1986794,
388,92519,,0.0,8071,17710007,,82270,1986867,
389,5521,5943580,,8070,17710345,,9070,1986992,
390,8071,5944755,,8071,17710389,,8071,1987377,
391,7529,,0.0,8070,17710404,,82170,1989795,
392,8529,,0.0,72519,,0.0,72549,,0.0
393,9529,,0.0,82519,,7.0,82549,,1.0
394,5520,5944756,,92519,,0.0,92549,,0.0
395,8070,5945163,,5521,17734902,,8070,1994697,
396,72559,,0.0,8071,17736303,,72519,,0.0
397,82559,,0.0,7529,,0.0,82519,,0.0
398,92559,,0.0,8529,,0.0,92519,,0.0
399,72171,5947756,,9529,,0.0,5521,2026795,
400,7071,5948817,,5520,17736304,,8071,25893217,
401,72170,5948817,,72559,,0.0,7529,,0.0
402,82271,5948817,,82559,,0.0,8529,,0.0
403,82270,5948890,,92559,,0.0,9529,,0.0
404,7070,5948907,,72171,17739304,,5520,25893218,
405,8071,5949243,,8070,17740705,,8070,25893371,
406,82170,5951818,,72540,17740805,,72559,,0.0
407,72549,,0.0,72519,,0.0,82559,,0.0
408,82549,,1.0,82519,,0.0,92559,,0.0
409,92549,,0.0,92519,,0.0,92171,25896218,
410,8070,59692519,,5521,17797805,,92540,25897719,
411,72519,,0.0,8071,17798260,,72519,,0.0
412,82519,,0.0,7529,,0.0,82519,,0.0
413,92519,,0.0,8529,,0.0,92519,,0.0
414,5521,6008818,,9529,,0.0,5521,5957719,
415,8071,6020254,,5520,17798261,,8071,6024912,
416,7529,,0.0,8070,17798544,,7529,,0.0
417,8529,,0.0,72559,,0.0,8529,,0.0
418,9529,,0.0,82559,,0.0,9529,,0.0
419,5520,6020255,,92559,,0.0,5520,6024912,
420,8070,6020539,,92171,17801261,,8070,6025099,
421,72559,,0.0,9071,17802218,,72559,,0.0
422,82559,,0.0,92170,17802219,,82559,,0.0
423,92559,,0.0,82271,17802219,,92559,,0.0
424,92171,6023255,,82270,17802292,,72171,6027912,
425,9071,6024273,,9070,17802308,,7071,6027976,
426,92170,6024273,,8071,17802603,,72170,6027976,
427,82271,6024273,,82170,17805220,,82271,6027976,
428,82270,6024346,,72549,,0.0,82270,6028049,
429,9070,6024378,,82549,,1.0,7070,6028619,
430,8071,6024804,,92549,,0.0,8071,6029127,
431,82170,6027274,,8070,17805508,,82170,6030977,
432,72549,,0.0,8071,17815366,,72549,,0.0
433,82549,,1.0,8070,17815412,,82549,,1.0
434,92549,,0.0,8071,17816460,,92549,,0.0
435,8070,6043655,,8070,17819032,,8070,6033652,
436,72519,,0.0,72519,,0.0,72519,,0.0
437,82519,,0.0,82519,,2.0,82519,,0.0
438,92519,,0.0,92519,,0.0,92519,,0.0
439,5521,6059274,,5521,17842220,,5521,6081977,
440,8071,6064172,,8071,17842785,,8071,6088223,
441,7529,,0.0,7529,,0.0,7529,,0.0
442,8529,,0.0,8529,,0.0,8529,,0.0
443,9529,,0.0,9529,,0.0,9529,,0.0
444,5520,6064173,,5520,17842785,,5520,6088224,
445,8070,6064372,,8070,17843483,,8070,6088401,
446,72559,,0.0,72559,,0.0,9071,6089633,
447,82559,,0.0,82559,,0.0,9070,6089926,
448,92559,,0.0,92559,,0.0,72559,,0.0
449,72171,6067173,,72171,17845785,,82559,,0.0
450,72540,6068674,,72540,17847286,,92559,,1.0
451,72519,,0.0,72519,,0.0,92171,6091224,
452,82519,,0.0,82519,,0.0,9071,6091898,
453,92519,,0.0,92519,,0.0,92170,6091898,
454,5521,6108674,,5521,17904286,,82271,6091899,
455,8071,6124838,,8071,17904807,,82270,6091972,
456,7529,,0.0,7529,,0.0,9070,6092051,
457,8529,,0.0,8529,,0.0,8071,6092372,
458,9529,,0.0,9529,,0.0,82170,6094900,
459,5520,6124839,,5520,17904808,,72549,,0.0
460,8070,6124942,,8070,17905976,,82549,,1.0
461,8071,61227034,,72559,,0.0,92549,,0.0
462,8070,61227095,,82559,,0.0,8070,6101457,
463,72559,,0.0,92559,,0.0,9071,6105703,
464,82559,,1.0,92171,17907808,,9070,61025894,
465,92559,,0.0,92540,17909309,,7071,6113740,
466,92171,6127839,,72519,,0.0,7070,6114100,
467,9071,6128603,,82519,,0.0,7071,61321705,
468,92170,6128603,,92519,,0.0,7070,6132252,
469,82271,6128604,,5521,17941309,,7071,6132304,
470,82270,6128677,,8071,17941933,,7070,6132322,
471,9070,6128750,,7529,,0.0,7071,6134919,
472,8071,6129222,,8529,,0.0,7070,6138494,
473,82170,61321605,,9529,,0.0,7071,6138755,
474,72549,,0.0,5520,17941934,,7070,6138921,
475,82549,,1.0,8070,17942284,,7071,6140328,
476,92549,,0.0,72559,,0.0,7070,6140666,
477,8070,6150230,,82559,,0.0,7071,6140776,
478,72519,,0.0,92559,,0.0,7070,6141730,
479,82519,,0.0,72171,17944934,,7071,6142962,
480,92519,,0.0,7071,17945618,,7070,6143650,
481,5521,6168605,,72170,17945618,,72519,,8.0
482,8071,6192109,,82271,17945619,,82519,,0.0
483,7529,,0.0,82270,17945692,,92519,,1.0
484,8529,,0.0,7070,17945698,,5521,6144900,
485,9529,,0.0,8071,17946066,,8071,6147421,
486,5520,6192110,,82170,17948620,,7529,,0.0
487,8070,6192166,,72549,,0.0,8529,,0.0
488,9071,6194010,,82549,,1.0,9529,,0.0
489,72559,,0.0,92549,,0.0,5520,6147422,
490,82559,,0.0,8070,17950616,,8070,6147543,
491,92559,,1.0,8071,17955848,,8071,6147973,
492,72171,6195110,,8070,17957723,,8070,6148013,
493,9070,6195120,,72519,,0.0,72559,,0.0
494,72540,6196611,,82519,,1.0,82559,,1.0
495,72519,,0.0,92519,,0.0,92559,,0.0
496,82519,,0.0,5521,17988620,,92171,6150422,
497,92519,,0.0,8071,18023457,,9071,6151592,
498,5521,6233611,,7529,,0.0,92170,6151592,
499,8071,6234953,,8529,,0.0,82271,6151593,
