Box Number,6,6,6,9,9,9,10,10,10
Columns,event_code,timestamp,counter,event_code,timestamp,counter,event_code,timestamp,counter
0,Start Date, 07/30/2020,,Start Date, 07/30/2020,,Start Date, 07/30/2020,
1,Start Time, 11-35-00,,Start Time, 11-35-50,,Start Time, 12-02-31,
2,Mouse Line, 234,,Mouse Line, 240,,Mouse Line, 232,
3,Experiment, Group10,,Experiment, Group10,,Experiment, Group10,
4,Paradigm, P1,,Paradigm, P1,,Paradigm, P1,
5,Group, cre-,,Group, cre+,,Group, cre-,
6,Sex, male,,Sex, female,,Sex, male,
7,Subject, 234,,Subject, 240,,Subject, 232,
8,Box Number, 6,,Box Number, 9,,Box Number, 10,
9,0113,1420,,0113,228,,0113,230,
10,Paradigm, DD_P1_vf,,Paradigm, DD_P1_vf,,Paradigm, DD_P1_vf,
200,8070,20301305,,7529,,0.0,5521,47938923,
201,71519,,0.0,8529,,0.0,8071,47940488,
202,81519,,1.0,9529,,0.0,7529,,0.0
203,91519,,0.0,5520,957972,,8529,,0.0
204,5521,20335032,,81171,957973,,9529,,0.0
205,8071,20343148,,81271,957973,,5520,47940489,
206,7529,,0.0,81270,958046,,81171,47940489,
207,8529,,0.0,8070,958347,,81271,47940489,
208,9529,,0.0,8071,958966,,81270,47940562,
209,5520,20343149,,8070,959036,,8070,47942568,
210,81171,20343149,,8071,959062,,8071,47942730,
211,81271,20343149,,8070,959542,,8070,47943223,
212,81270,20343222,,81170,960974,,81170,47943490,
213,8070,20345061,,71519,,0.0,71519,,0.0
214,81170,20346150,,81519,,0.0,81519,,0.0
215,71519,,0.0,91519,,0.0,91519,,0.0
216,81519,,0.0,5521,1010974,,5521,47973490,
217,91519,,0.0,8071,1420935,,8071,47992382,
218,5521,20378150,,7529,,0.0,7529,,0.0
219,8071,20485286,,8529,,0.0,8529,,0.0
220,7529,,0.0,9529,,0.0,9529,,0.0
221,8529,,0.0,5520,1420935,,5520,47992383,
222,9529,,0.0,81171,1420936,,81171,47992383,
223,5520,20485287,,81271,1420936,,81271,47992383,
224,81171,20485287,,81270,1421009,,81270,47992456,
225,81271,20485287,,8070,1421643,,8070,47994509,
226,81270,20485360,,81170,1423937,,8071,47994547,
227,8070,20487012,,71519,,0.0,8070,47994979,
228,81170,20488288,,81519,,0.0,81170,47995384,
229,71519,,0.0,91519,,0.0,8071,47996127,
230,81519,,0.0,5521,1470937,,8070,47997008,
231,91519,,0.0,8071,1727998,,8071,47998360,
232,5521,20520288,,7529,,0.0,8070,48000033,
233,8071,31118963,,8529,,0.0,8071,48043317,
234,7529,,0.0,9529,,0.0,8070,48044048,
235,8529,,0.0,5520,1728000,,7071,48049205,
236,9529,,0.0,81171,1728000,,7070,48049439,
237,5520,31118963,,81271,1728000,,71519,,1.0
238,81171,31118964,,81270,1728073,,81519,,3.0
239,81271,31118964,,8070,1728375,,91519,,0.0
240,81270,31119037,,8071,1728391,,5521,48050384,
241,8070,31120358,,8070,1728545,,8071,48052315,
242,81170,31121965,,8071,1728598,,7529,,0.0
243,8071,31122416,,8070,1728608,,8529,,0.0
244,8070,31122653,,8071,1729391,,9529,,0.0
245,71519,,0.0,8070,1729418,,5520,48052316,
246,81519,,1.0,8071,1729505,,81171,48052317,
247,91519,,0.0,8070,1729541,,81271,48052317,
248,5521,31181965,,8071,1729613,,81270,48052390,
249,8071,31229563,,8070,1729690,,8070,48054073,
250,7529,,0.0,8071,1729918,,8071,48054160,
251,8529,,0.0,8070,1729963,,8070,48054648,
252,9529,,0.0,8071,1730018,,81170,48055318,
253,5520,31229563,,8070,1730736,,8071,48057699,
254,81171,31229564,,81170,1731001,,8070,48058025,
255,81271,31229564,,71519,,0.0,71519,,0.0
256,81270,31229637,,81519,,0.0,81519,,1.0
257,8070,31231370,,91519,,0.0,91519,,0.0
258,8071,31232189,,5521,1788001,,5521,48110318,
259,8070,31232264,,8071,6931973,,8071,48112974,
260,81170,31232565,,7529,,0.0,7529,,0.0
261,71519,,0.0,8529,,0.0,8529,,0.0
262,81519,,0.0,9529,,0.0,9529,,0.0
263,91519,,0.0,5520,6931974,,5520,48112975,
264,5521,31279565,,81171,6931974,,81171,48112975,
265,8071,38849989,,81271,6931974,,81271,48112975,
266,7529,,0.0,81270,6932047,,81270,48113048,
267,8529,,0.0,8070,6933394,,8070,48114419,
268,9529,,0.0,8071,6933457,,8071,48114468,
269,5520,38849990,,8070,6934721,,8070,48115567,
270,81171,38849990,,81170,6934975,,8071,48115946,
271,81271,38849990,,8071,6977575,,81170,48115976,
272,81270,38850063,,8070,6978744,,8070,48116298,
273,8070,38851611,,71519,,0.0,71519,,0.0
274,81170,38852992,,81519,,1.0,81519,,0.0
275,71519,,0.0,91519,,0.0,91519,,0.0
276,81519,,0.0,5521,6981975,,5521,48160976,
277,91519,,0.0,8071,6982471,,8071,48164016,
278,5521,38892992,,7529,,0.0,7529,,0.0
279,8071,38920436,,8529,,0.0,8529,,0.0
280,7529,,0.0,9529,,0.0,9529,,0.0
281,8529,,0.0,5520,6982472,,5520,48164016,
282,9529,,0.0,81171,6982472,,81171,48164017,
283,5520,38920437,,81271,6982472,,81271,48164017,
284,81171,38920437,,8070,6982533,,81270,48164090,
285,81271,38920437,,81270,6982545,,8070,48166045,
286,81270,38920510,,8071,6982633,,81170,48167018,
287,8070,38922393,,8070,6983033,,8071,48170001,
288,81170,38923438,,8071,6983048,,8070,48170783,
289,71519,,0.0,8070,6983127,,9071,48180911,
290,81519,,0.0,8071,6983148,,9070,48181013,
291,91519,,0.0,8070,6983216,,8071,48182194,
292,5521,38978438,,8071,6983251,,8070,48184053,
293,8071,41246816,,8070,6983426,,7071,48189421,
294,7529,,0.0,8071,6983454,,7070,48189569,
295,8529,,0.0,8070,6983532,,7071,48189591,
296,9529,,0.0,8071,6983565,,7070,48190396,
297,5520,41246817,,81170,6985473,,7071,48191286,
298,81171,41246818,,8070,6985844,,7070,48191876,
299,81271,41246818,,8071,6986224,,8071,48199690,
300,81270,41246891,,8070,6986483,,8070,48200035,
301,8070,41248273,,8071,6986892,,71519,,3.0
302,81170,41249819,,8070,6987725,,81519,,3.0
303,71519,,0.0,7071,6989292,,91519,,1.0
304,81519,,0.0,7070,6992760,,5521,48207019,
305,91519,,0.0,71519,,1.0,8071,48211775,
306,5521,41299819,,81519,,2.0,7529,,0.0
307,8071,42936524,,91519,,0.0,8529,,0.0
308,7529,,0.0,5521,7017473,,9529,,0.0
309,8529,,0.0,8071,7333093,,5520,48211775,
310,9529,,0.0,7529,,0.0,81171,48211776,
311,5520,42936525,,8529,,0.0,81271,48211776,
312,81171,42936525,,9529,,0.0,81270,48211849,
313,81271,42936525,,5520,7333094,,8070,48214523,
314,81270,42936598,,81171,7333094,,81170,48214777,
315,8070,42938290,,81271,7333094,,8071,48215738,
316,81170,42939526,,81270,7333167,,8070,48215831,
317,8071,42994243,,8070,7334615,,8071,48215860,
318,8070,42994823,,8071,7334648,,8070,48215877,
319,71519,,0.0,8070,7335743,,8071,48215886,
320,81519,,1.0,81170,7336095,,8070,48215904,
321,91519,,0.0,71519,,0.0,8071,48216094,
322,5521,42999526,,81519,,0.0,8070,48216132,
323,8071,43001207,,91519,,0.0,8071,48216157,
324,7529,,0.0,5521,7370095,,8070,48216208,
325,8529,,0.0,8071,7474141,,8071,48216257,
326,9529,,0.0,7529,,0.0,8070,48216314,
327,5520,43001208,,8529,,0.0,8071,48216357,
328,81171,43001209,,9529,,0.0,8070,48216392,
329,81271,43001209,,5520,7474142,,8071,48216412,
330,81270,43001282,,81171,7474142,,8070,48218457,
331,8070,43002679,,81271,7474142,,71519,,0.0
332,8071,43003351,,8070,7474179,,81519,,8.0
333,8070,43003844,,8071,7474198,,91519,,0.0
334,81170,43004210,,81270,7474215,,5521,48264777,
335,7071,43006089,,8070,7474557,,8071,48363079,
336,7070,43006115,,8071,7475288,,7529,,0.0
337,8071,43017304,,8070,7475321,,8529,,0.0
338,8070,43017322,,8071,7475401,,9529,,0.0
339,8071,43018616,,8070,7475476,,5520,48363080,
340,8070,43018876,,8071,7475518,,81171,48363081,
341,71519,,1.0,8070,7475558,,81271,48363081,
342,81519,,2.0,8071,7475713,,81270,48363154,
343,91519,,0.0,81170,7477143,,8070,48365107,
344,5521,43055210,,8070,7477876,,81170,48366082,
345,8071,43071566,,71519,,0.0,8071,48371405,
346,7529,,0.0,81519,,0.0,8070,48372109,
347,8529,,0.0,91519,,0.0,8071,48406622,
348,9529,,0.0,5521,7534143,,8070,48407051,
349,5520,43071567,,8071,7704935,,8071,48407361,
350,81171,43071568,,7529,,0.0,8070,48407514,
351,81271,43071568,,8529,,0.0,8071,48409567,
352,81270,43071641,,9529,,0.0,8070,48410803,
353,8070,43073097,,5520,7704936,,71519,,0.0
354,81170,43074569,,81171,7704936,,81519,,4.0
355,71519,,0.0,81271,7704936,,91519,,0.0
356,81519,,0.0,81270,7705009,,5521,48413082,
357,91519,,0.0,8070,7707165,,8071,48414461,
358,5521,43114569,,81170,7707937,,7529,,0.0
359,8071,43116846,,71519,,0.0,8529,,0.0
360,7529,,0.0,81519,,0.0,9529,,0.0
361,8529,,0.0,91519,,0.0,5520,48414461,
362,9529,,0.0,5521,7764937,,81171,48414462,
363,5520,43116847,,8071,7791099,,81271,48414462,
364,81171,43116848,,7529,,0.0,81270,48414535,
365,81271,43116848,,8529,,0.0,8070,48416621,
366,81270,43116921,,9529,,0.0,8071,48416718,
367,8070,43118469,,5520,7791100,,81170,48417463,
368,81170,43119849,,81171,7791100,,8070,48418316,
369,8071,43160258,,81271,7791100,,8071,48418538,
370,8070,43161788,,81270,7791173,,8070,48419317,
371,71519,,0.0,8070,7791512,,8071,48419344,
372,81519,,1.0,8071,7792030,,8070,48419623,
373,91519,,0.0,8070,7792056,,8071,48422153,
374,5521,43169849,,8071,7792130,,8070,48422238,
375,8071,43170144,,8070,7792176,,8071,48422353,
376,7529,,0.0,8071,7792236,,8070,48423093,
377,8529,,0.0,8070,7792278,,8071,48424303,
378,9529,,0.0,8071,7792349,,8070,48424726,
379,5520,43170145,,8070,7792401,,8071,48442253,
380,81171,43170145,,8071,7792525,,8070,48442831,
381,81271,43170145,,8070,7793837,,8071,48445453,
382,81270,43170219,,81170,7794101,,8070,48445688,
383,8070,43172101,,71519,,0.0,71519,,0.0
384,81170,43173146,,81519,,0.0,81519,,7.0
385,7071,43178409,,91519,,0.0,91519,,0.0
386,7070,43179242,,5521,7854101,,5521,48449463,
387,8071,43185451,,8071,7991334,,8071,48452667,
388,8070,43186277,,7529,,0.0,7529,,0.0
389,71519,,1.0,8529,,0.0,8529,,0.0
390,81519,,1.0,9529,,0.0,9529,,0.0
391,91519,,0.0,5520,7991335,,5520,48452668,
392,5521,43203146,,81171,7991336,,81171,48452668,
393,8071,43217668,,81271,7991336,,81271,48452668,
394,7529,,0.0,81270,7991409,,81270,48452741,
395,8529,,0.0,8070,7992693,,8070,48454910,
396,9529,,0.0,8071,7992706,,8071,48455114,
397,5520,43217668,,8070,7993644,,81170,48455669,
398,81171,43217669,,81170,7994337,,8070,48456032,
399,81271,43217669,,8071,8012216,,8071,48456958,
400,81270,43217742,,8070,8012456,,8070,48457398,
401,81170,43220670,,8071,8014819,,8071,48493057,
402,8070,43220783,,8070,8015960,,8070,48493529,
403,8071,43222487,,71519,,0.0,8071,48493544,
404,8070,43235155,,81519,,2.0,8070,48494028,
405,8071,43236491,,91519,,0.0,71519,,0.0
406,8070,43236580,,5521,8031337,,81519,,3.0
407,8071,43239391,,8071,8350281,,91519,,0.0
408,8070,43239556,,7529,,0.0,5521,48515670,
409,8071,43261328,,8529,,0.0,8071,48542392,
410,8070,43261538,,9529,,0.0,7529,,0.0
411,71519,,0.0,5520,8350281,,8529,,0.0
412,81519,,4.0,81171,8350282,,9529,,0.0
413,91519,,0.0,81271,8350282,,5520,48542392,
414,5521,43277670,,81270,8350355,,81171,48542393,
415,8071,43290522,,8070,8350976,,81271,48542393,
416,7529,,0.0,8071,8350991,,81270,48542466,
417,8529,,0.0,8070,8352190,,8070,48544201,
418,9529,,0.0,81170,8353283,,8071,48544617,
419,5520,43290523,,71519,,0.0,8070,48544649,
420,81171,43290524,,81519,,0.0,8071,48545112,
421,81271,43290524,,91519,,0.0,81170,48545394,
422,81270,43290597,,5521,8387283,,8070,48545750,
423,8070,43292230,,8071,8461442,,8071,48546391,
424,8071,43292307,,7529,,0.0,8070,48547265,
425,81170,43293526,,8529,,0.0,71519,,0.0
426,8070,43293686,,9529,,0.0,81519,,1.0
427,8071,43293733,,5520,8461443,,91519,,0.0
428,8070,43293931,,81171,8461443,,5521,48596395,
429,8071,43302444,,81271,8461443,,8071,48937849,
430,8070,43302683,,81270,8461516,,7529,,0.0
431,8071,43303139,,8070,8462458,,8529,,0.0
432,8070,43304301,,8071,8462499,,9529,,0.0
433,8071,43307909,,8070,8462531,,5520,48937850,
434,8070,43314089,,8071,8462745,,81171,48937850,
435,71519,,0.0,8070,8462970,,81271,48937850,
436,81519,,4.0,8071,8463105,,81270,48937923,
437,91519,,0.0,81170,8464444,,8070,48939595,
438,5521,43343526,,8070,8464515,,81170,48940851,
439,8071,45076175,,8071,8477945,,8071,48948994,
440,7529,,0.0,8070,8478247,,8070,48949795,
441,8529,,0.0,9071,8483467,,8071,48960794,
442,9529,,0.0,9070,8483558,,8070,48961763,
443,5520,45076176,,71519,,0.0,71519,,0.0
444,81171,45076177,,81519,,1.0,81519,,2.0
445,81271,45076177,,91519,,1.0,91519,,0.0
446,8070,45076191,,5521,8515444,,5521,49000851,
447,8071,45076218,,8071,8584475,,8071,49102883,
448,81270,45076250,,7529,,0.0,7529,,0.0
449,8070,45078109,,8529,,0.0,8529,,0.0
450,81170,45079178,,9529,,0.0,9529,,0.0
451,8071,45079654,,5520,8584476,,5520,49102884,
452,8070,45080847,,81171,8584476,,81171,49102885,
453,8071,45104543,,81271,8584476,,81271,49102885,
454,8070,45104664,,81270,8584549,,81270,49102958,
455,71519,,0.0,81170,8587478,,8070,49103398,
456,81519,,2.0,8070,8587666,,8071,49103966,
457,91519,,0.0,71519,,0.0,8070,49103988,
458,5521,45139178,,81519,,0.0,8071,49104152,
459,8071,45143030,,91519,,0.0,8070,49104179,
460,7529,,0.0,5521,8627478,,8071,49104227,
461,8529,,0.0,8071,8693116,,8070,49104309,
462,9529,,0.0,7529,,0.0,8071,49104329,
